user, score_1,score_2,score_3,score_4,score_5,score_6,score_7
4deb022db, 7.4,4.3,4.4,7.2,6.8,7.4,6.6
9e8c4bbee, 6.1,7.0,8.1,8.2,7.4,5.5,8.0
358b28407, 4.7,5.2,6.0,4.0,6.1,5.1,6.1
ac2e86848, 8.4,7.9,8.7,8.3,6.7,10.0,7.3
d53792373, 5.7,5.5,4.5,5.1,4.0,1.9,6.4
a4bcaec09, 5.3,5.6,4.3,3.9,4.3,4.8,3.5
08f46bd75, 3.8,3.2,2.8,2.0,4.1,2.2,5.0
ffe33ac60, 3.8,1.2,2.6,1.3,3.4,3.1,2.0
1020770d4, 0.0,1.3,0.6,2.8,1.0,2.8,0.0
7ed24e2fb, 6.4,4.0,4.6,2.9,4.6,4.9,5.7
461d94743, 7.8,7.1,6.7,6.4,7.0,7.1,5.2
8cbd878f4, 5.6,6.3,5.8,5.9,7.5,5.8,4.6
3b17a3070, 4.7,5.4,5.1,5.7,4.2,3.5,5.4
d11a22e70, 1.4,0.3,0.4,0.7,3.3,3.4,1.3
b0f0aaeff, 3.6,4.7,3.7,5.5,5.1,5.0,5.0
4751b37c7, 4.2,4.5,4.1,4.0,1.9,3.2,3.8
95b16fa7b, 0.0,3.6,2.6,3.9,1.5,3.2,3.9
5cf885ca9, 3.7,4.8,4.2,4.5,4.2,2.7,3.9
f8e8b01ad, 5.1,6.1,5.6,6.1,6.7,5.0,5.2
1d19eadcb, 4.0,2.8,3.4,2.7,3.0,2.9,4.6
873eea9dd, 4.7,5.5,5.4,6.1,4.8,6.4,4.0
0b37af754, 4.5,3.6,4.8,6.1,4.8,4.1,4.2
92c504f51, 3.2,3.5,3.2,1.0,3.1,3.1,1.0
3a317074d, 5.0,4.0,4.2,4.1,2.7,3.5,4.4
658a691a4, 6.0,6.5,4.4,6.6,5.0,2.6,5.1
f679995a4, 2.8,1.1,3.6,1.3,1.4,3.2,2.5
04f27b5fd, 5.5,4.4,5.0,3.9,5.7,3.8,3.5
